brand,mean_rating,mean_rating_count,mean_price,mean_unit_price,occurrence,total_rating_count
Others,4.5105820105820085,587.4285714285714,28.253809523809473,5.640529100529101,189,111024
Kaytee,4.425581395348836,2517.7441860465115,17.219302325581392,4.127674418604652,43,108263
ZuPreem,4.655555555555556,1015.0,22.517777777777788,4.1994444444444445,18,18270
Lyric,4.56,3240.8,30.704,-17.8,5,16204
Wild Harvest,4.52,3204.6,8.017999999999999,1.936,5,16023
Harrison,4.657142857142857,631.952380952381,46.676190476190484,6.409523809523811,21,13271
Hagen,4.5,739.25,26.803750000000004,10.05625,8,5914
Volkman,4.572727272727272,373.54545454545456,32.236363636363635,6.8118181818181816,11,4109
Vitakraft,4.55,858.75,10.290000000000001,4.077500000000001,4,3435
Pretty Bird,4.647058823529412,130.64705882352942,29.664705882352944,4.169411764705882,17,2221
Nemeth,4.5,1539.0,67.88,0.85,1,1539
LAFEBER'S,4.55,310.5,23.24,3.94,4,1242
Wild Delight,4.6,446.5,18.735,-5.0,2,893
Cole's,4.6,516.0,27.47,0.0,1,516
Mazuri,4.550000000000001,221.5,15.34,0.35,2,443
Sun Seed,4.6,137.0,12.99,-13.0,1,137
